Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"TAMAN ARA JAYAPadang Matsirat, Kedah",Freehold,Bungalow,"RM55,000",RM15,27,
"TAMAN TERATAIKulai, Johor",Freehold,Terrace House,"RM360,000",RM255,27,
"TAMAN INDERAWASIHPerai, Penang",Freehold,Terrace House,"RM500,000",RM307,27,
"TAMAN SRI TEBRAUJohor Bahru, Johor",Freehold,"Terrace House, Semi D","RM650,000",RM288,27,
"TAMAN BEMBAN SETIABatu Gajah, Perak",Leasehold,Terrace House,"RM253,710",RM166,27,
"UNI GARDENKota Samarahan, Sarawak","Freehold, Leasehold","Terrace House, Semi D","RM500,000",RM166,27,
"TAMAN DESA HARMONIMasai, Johor",Freehold,Terrace House,"RM395,000",RM312,27,
"TAMAN KELADI FASA 2Sungai Petani, Kedah",Freehold,Terrace House,"RM170,000",RM142,27,
"TAMAN DESA JAYAKepong, Selangor",Leasehold,Terrace House,"RM550,000",RM349,27,
"PR1MA @ PORT DICKSONLukut, Negeri Sembilan",Freehold,Terrace House,"RM288,000",RM221,27,
"TAMAN GAYAUlu Tiram, Johor",Freehold,"Terrace House, Cluster House","RM772,000",RM368,27,
"TAMAN MUDAAmpang, Selangor",Leasehold,Terrace House,"RM450,000",RM532,27,
"TAMAN BENTARATelok Panglima Garang, Selangor",Leasehold,"Terrace House, Bungalow","RM455,000",RM249,27,
"Seni Mont KiaraMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM2,210,000",RM777,27,
"Seksyen 1 Wangsa Maju FlatWangsa Maju, Kuala Lumpur",Leasehold,Flat,"RM215,000",RM405,27,
"Desa SatuKepong, Selangor",Freehold,Flat,"RM150,000",RM228,27,
"Endah Regal CondominiumSri Petaling, Kuala Lumpur",Leasehold,Condominium,"RM499,000",RM438,27,
"The Z ResidenceBukit Jalil, Kuala Lumpur",Freehold,Condominium,"RM650,000",RM496,27,
"D'Summit ResidencesSkudai, Johor",Freehold,Service Residence,"RM401,900",RM598,27,
"TAMAN BUKIT KATIL DAMAIBukit Katil, Melaka",Leasehold,Terrace House,"RM447,500",RM210,26,
"TAMAN RIA MESRA 2Gurun, Kedah",Freehold,"Terrace House, Semi D","RM194,000",RM134,26,
"SERI PUTERI HILLSPuchong, Selangor",Freehold,Town House,"RM1,643,000",RM533,26,
"RUMAH MAKMUR KAMPUNG TIRAMKuantan, Pahang","Freehold, Leasehold",Terrace House,"RM80,000",RM73,26,
"TAMAN PEGOH DAMAIPegoh, Melaka",Freehold,"Semi D, Terrace House","RM238,500",RM155,26,
"TAMAN DESA ILMUKota Samarahan, Sarawak",Leasehold,Terrace House,"RM365,000",RM165,26,
"SEKSYEN 7 SHAH ALAMShah Alam, Selangor",Leasehold,Terrace House,"RM685,000",RM426,26,
"TAMAN MERAKSimpang Ampat, Penang",Freehold,Terrace House,"RM265,000",RM265,26,
"TAMAN RAWANG PERDANARawang, Selangor",Freehold,Terrace House,"RM462,500",RM306,26,
"SHAH ALAM UTAMAShah Alam, Selangor",Leasehold,Terrace House,"RM1,080,900",RM564,26,
"KEN RIMBA SEKSYEN 16Kapar, Selangor",Freehold,Terrace House,"RM775,000",RM461,26,
"ELMINA EASTShah Alam, Selangor",Freehold,Terrace House,"RM1,125,000",RM442,26,
"TAMAN GAMBANG DAMAI / DESA HIJAUANHulu Lepar, Pahang",Leasehold,Terrace House,"RM167,500",RM139,26,
"TAMAN DESA PUTERIBahau, Negeri Sembilan",Freehold,Terrace House,"RM255,000",RM182,26,
"TABUAN JAYAKuching, Sarawak","Leasehold, Freehold","Terrace House, Semi D, Bungalow","RM670,001",RM228,26,
"TAMAN CHERAS PERDANACheras, Selangor",Freehold,"Terrace House, Semi D","RM465,000",RM344,26,
"TAMAN BERSATU (BATAS PAIP)Kuala Kedah, Kedah",Freehold,Terrace House,"RM180,000",RM214,26,
"TAMAN JAYA UTAMATelok Panglima Garang, Selangor",Freehold,Terrace House,"RM400,000",RM253,26,
"TAMAN INDAH JAYASandakan, Sabah",Leasehold,Terrace House,"RM410,000",RM258,26,
"TAMAN RIA JAYA FASA 3Sungai Petani, Kedah",Freehold,Terrace House,"RM215,000",RM147,26,
"TAMAN BUKIT KEMPASTampoi, Johor",Freehold,Terrace House,"RM447,500",RM255,26,
"TAMAN AUSTIN PERDANATebrau, Johor",Freehold,"Terrace House, Semi D","RM690,000",RM418,26,
