Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"TUNAS MAHKOTAKuantan, Pahang",Freehold,Terrace House,"RM170,000",RM160,21,
"TAMAN PLENTONG BARUMasai, Johor",Freehold,Terrace House,"RM280,000",RM314,21,
"TAMAN DESA LANG INDAHIpoh, Perak","Freehold, Leasehold",Terrace House,"RM300,000",RM249,21,
"TAMAN SAUJANA PUCHONGPuchong, Selangor",Leasehold,"Bungalow, Terrace House","RM460,000",RM339,21,
"PRIMA D'MARINAKuantan, Pahang",Leasehold,Terrace House,"RM383,333",RM256,21,
"TAMAN SRI LAYANGMentakab, Pahang",Freehold,Terrace House,"RM155,000",RM150,21,
"TAMAN PINJI MEWAHIpoh, Perak",Leasehold,"Bungalow, Terrace House","RM250,000",RM164,21,
"TIMURBandar Enstek, Negeri Sembilan",Freehold,Terrace House,"RM576,473",RM238,21,
"TAMAN ANDALAS JAYAKlang, Selangor",Freehold,Terrace House,"RM612,000",RM406,21,
"TAMAN KELISA RIA FASA 2Sungai Petani, Kedah",Freehold,Semi D,"RM295,000",RM115,21,
"KEPONG GARDENKepong, Kuala Lumpur",Freehold,Terrace House,"RM725,000",RM489,21,
"TAMAN MERDEKA JAYA (AERONOTIK TAIPAN)Batu Berendam, Melaka",Leasehold,Terrace House,"RM250,000",RM186,21,
"TAMAN BANDAR UTAMA TAMPINTampin, Negeri Sembilan",Freehold,Terrace House,"RM290,500",RM135,21,
"BANDAR MANJALARABandar Menjalara, Kuala Lumpur",Leasehold,Terrace House,"RM750,000",RM587,21,
"TAMAN SUTERA UTAMASkudai, Johor",Freehold,Terrace House,"RM990,000",RM441,21,
"DESA PENGKALAN BERSATUIpoh, Perak",Leasehold,Terrace House,"RM368,000",RM241,21,
"TAMAN EHSANKepong, Selangor",Leasehold,Terrace House,"RM600,000",RM316,21,
"TAMAN INDAH SATELITTampin, Negeri Sembilan",Freehold,"Terrace House, Bungalow","RM265,000",RM167,21,
"TAMAN MENARA MAJUKlang, Selangor",Freehold,Terrace House,"RM390,000",RM292,21,
"RAZAKIIpoh, Perak",Leasehold,Terrace House,"RM228,000",RM150,21,
"TAMAN SEGAR PERDANACheras, Selangor","Freehold, Leasehold","Terrace House, Semi D","RM880,000",RM481,21,
"ISLAND PARKJelutong, Penang",Freehold,"Semi D, Terrace House","RM1,355,000",RM577,21,
"KEMAYAN COUNTRY TOWNSHIP (RASAH KEMAYAN)Rasah, Negeri Sembilan",Freehold,Bungalow,"RM600,000",RM105,21,
"TROPICANA INDAH RESORT HOMESKota Damansara, Selangor",Leasehold,"Terrace House, Semi D","RM1,680,000",RM590,21,
"TAMAN BAYU PERDANAKlang, Selangor",Freehold,Terrace House,"RM568,000",RM380,21,
"TAMAN DERGA JAYA FASA 1Alor Setar, Kedah",Freehold,Terrace House,"RM250,000",RM182,21,
"TAMAN MAWAR INDAH, TRIANGTriang, Pahang",Leasehold,Terrace House,"RM338,000",RM230,21,
"TAMAN RAMBAI UTAMATanjong Minyak, Melaka",Freehold,Terrace House,"RM220,000",RM168,21,
"TAMAN SERI KIJANGBukit Mertajam, Penang",Freehold,Terrace House,"RM300,000",RM270,21,
"NILAI IMPIANNilai, Negeri Sembilan",Freehold,"Terrace House, Bungalow","RM650,000",RM328,21,
"Desa MawarAyer Itam, Penang",Leasehold,Flat,"RM165,000",RM307,21,
"1120 Park AvenuePetaling Jaya, Selangor",Leasehold,Condominium,"RM430,000",RM460,21,
"Straits View CondominiumPermas Jaya, Johor",Freehold,Condominium,"RM443,000",RM270,21,
"PD PerdanaPort Dickson, Negeri Sembilan",Freehold,Apartment,"RM102,000",RM134,21,
"Pangsapuri WiraCheras, Selangor",Freehold,Apartment,"RM266,000",RM325,21,
"Kempas ApartmentGenting Highlands, Pahang",Freehold,Apartment,"RM455,000",RM529,21,
"Taman MutiaraLabuan, Labuan",Leasehold,Flat,"RM119,000",RM144,21,
"Platinum Suites (The Face Suites)KLCC, Kuala Lumpur",Freehold,Service Residence,"RM1,400,000","RM1,896",21,
"Pangsapuri KasuarinaKlang, Selangor",Freehold,Apartment,"RM310,000",RM339,21,
"Beverly Hills 1Kota Kinabalu, Sabah",Leasehold,Apartment,"RM280,000",RM370,21,
"Aman Heights CondominiumSeri Kembangan, Selangor",Freehold,Condominium,"RM390,000",RM315,21,
"Costa MahkotaMelaka City, Melaka",Leasehold,Apartment,"RM225,000",RM301,21,
"Ocean View ResortPort Dickson, Negeri Sembilan",Freehold,"Service Residence, Condominium","RM120,000",RM115,21,
"Pavilion HilltopMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM1,800,000",RM978,21,
"Palm & Nipah Court (Pangsapuri Nipah)Georgetown, Penang",Leasehold,Apartment,"RM310,000",RM472,21,
"Elit Heights @ Bayan CityBayan Lepas, Penang",Freehold,Condominium,"RM610,000",RM439,21,
"Mutiara Idaman 1Jelutong, Penang",Leasehold,Flat,"RM240,000",RM385,21,
"BANDAR BARU TAMBUN(TAMBUN PERMAI)Tambun, Perak",Leasehold,"Terrace House, Semi D","RM360,000",RM234,20,
"SS4 PETALING JAYAPetaling Jaya, Selangor",Freehold,"Terrace House, Semi D","RM915,000",RM461,20,
"LAYANGGKASAUlu Tiram, Johor",Leasehold,Terrace House,"RM405,000",RM286,20,
"TAMAN JUASSEH SENTOSA FASA 2Juasseh, Negeri Sembilan",Freehold,Terrace House,"RM242,300",RM99,20,
"KAJANG 2Semenyih, Selangor",Freehold,Terrace House,"RM846,000",RM603,20,
"GARDEN AVENUE @ SEREMBAN 2Seremban 2, Negeri Sembilan",Freehold,Terrace House,"RM320,000",RM219,20,
"TAMAN AROWANA [LENGGENG]Lenggeng, Negeri Sembilan",Leasehold,Terrace House,"RM498,800",RM316,20,
"TAMAN SRI RAMPAIWangsa Maju, Kuala Lumpur",Freehold,Terrace House,"RM545,000",RM606,20,
"TAMAN BERSATU (GELONG)Jitra, Kedah",Freehold,Terrace House,"RM180,000",RM166,20,
"GLENMARIE INDUSTRIAL PARKGlenmarie, Selangor",Freehold,"Terrace House, Bungalow","RM1,750,000",RM598,20,
"USJ 5Subang Jaya, Selangor",Freehold,Terrace House,"RM1,465,000",RM502,20,
"TAMAN MERU PERDANA 2Ipoh, Perak",Freehold,Terrace House,"RM334,200",RM203,20,
"TAMAN SEMARAKTawau, Sabah",Leasehold,Terrace House,"RM180,000",RM179,20,
"TAMAN DATUK TAMBY CHIK KARIMBatu Berendam, Melaka",Leasehold,Terrace House,"RM240,000",RM240,20,
"TAMAN DESA CEMPAKANilai, Negeri Sembilan",Freehold,Terrace House,"RM340,000",RM200,20,
"TTDI JAYAShah Alam, Selangor",Freehold,"Semi D, Terrace House","RM605,000",RM415,20,
"RPR BATU KAWAKuching, Sarawak","Leasehold, Freehold",Terrace House,"RM255,000",RM146,20,
"MUTIARA DAMANSARAMutiara Damansara, Selangor",Freehold,Terrace House,"RM1,525,000",RM849,20,
"TAMAN CHAI LENGPerai, Penang",Freehold,Terrace House,"RM485,000",RM293,20,
"TAMAN KOTA YONG PENGYong Peng, Johor",Freehold,Terrace House,"RM280,000",RM146,20,
"AMVERTON HILLS SUNGAI BULOHSungai Buloh, Selangor",Freehold,Semi D,"RM1,829,888",RM538,20,
"PERKAMPUNGAN SRI MAHKOTA AMANKuantan, Pahang",Freehold,Terrace House,"RM240,000",RM150,20,
"TAMAN INSANIAHKuala Ketil, Kedah",Freehold,Terrace House,"RM320,000",RM195,20,
"TAMAN GEMBIRAKlang, Selangor",Freehold,Terrace House,"RM550,000",RM345,20,
"TAMAN PUCHONG PERDANAPuchong, Selangor",Leasehold,Terrace House,"RM380,000",RM357,20,
"Metropolitan SquareDamansara Perdana, Selangor",Leasehold,Service Residence,"RM473,929",RM443,20,
"Arcoris ResidencesMont Kiara, Kuala Lumpur",Freehold,Service Residence,"RM1,011,955","RM1,043",20,
"Taman Lone Pine (Medium Low Cost)Ayer Itam, Penang",Freehold,Apartment,"RM204,000",RM387,20,
"Taman Bukit JambulBukit Jambul, Penang",Freehold,Flat,"RM250,000",RM302,20,
"Austin Regency (Pangsapuri Austin Perdana)Tebrau, Johor",Freehold,Apartment,"RM407,500",RM430,20,
"Flat Taman Alam MegahShah Alam, Selangor",Freehold,Flat,"RM152,500",RM254,20,
"The SeedSkudai, Johor",Freehold,Apartment,"RM650,000",RM480,20,
"Royal Domain Sri Putramas 2Jalan Kuching, Kuala Lumpur",Freehold,Condominium,"RM565,000",RM460,20,
"Desa Pinang 2Jelutong, Penang",Leasehold,Flat,"RM245,000",RM417,20,
"Bayu Puteri 3Johor Bahru, Johor",Leasehold,Apartment,"RM350,000",RM353,20,
"Taman Desa Relau 2Relau, Penang",Freehold,Apartment,"RM282,500",RM375,20,
"Bayu VillaKlang, Selangor",Freehold,Apartment,"RM320,000",RM314,20,
"Seri Semarak (Asia Heights)Ayer Itam, Penang",Freehold,Apartment,"RM371,500",RM473,20,
"Pangsapuri Sri KemuningShah Alam, Selangor",Freehold,Apartment,"RM251,500",RM333,20,
"The Grand Subang Jaya SS13Subang Jaya, Selangor",Freehold,Service Residence,"RM460,000",RM868,20,
"The Platino Serviced ApartmentTampoi, Johor",Freehold,Service Residence,"RM570,400",RM639,20,
"Taman Pandan PerdanaAmpang, Selangor",Leasehold,Flat,"RM138,000",RM206,20,
"Jazz Suites @ VivacityKuching, Sarawak",Leasehold,Condominium,"RM620,000",RM627,20,
"Selat Horizon CondominiumKlebang, Melaka",Freehold,Condominium,"RM222,500",RM227,20,
"Flat Taman MelatiSetapak, Kuala Lumpur",Freehold,Flat,"RM222,500",RM370,20,
"Permas Ville ApartmentPermas Jaya, Johor",Freehold,Apartment,"RM366,500",RM333,20,
"Taman Pandan IndahAmpang, Selangor",Leasehold,Flat,"RM151,000",RM251,20,
"Telipok SquareTuaran, Sabah",Leasehold,Flat,"RM130,000",RM206,20,
"TAMAN TUNKU MAHERANJitra, Kedah",Freehold,Terrace House,"RM227,000",RM180,19,
"TAMAN NILAM SARISeremban, Negeri Sembilan",Leasehold,Terrace House,"RM399,800",RM308,19,
"TAMAN MOSEY HILLIpoh, Perak",Leasehold,Terrace House,"RM399,880",RM236,19,
"PANORAMA LAPANGAN MUTIARAIpoh, Perak",Leasehold,Terrace House,"RM383,000",RM270,19,
"TAMAN DESA INTANKapar, Selangor",Leasehold,Terrace House,"RM358,000",RM270,19,
"TAMAN DAHLIATampoi, Johor",Leasehold,Terrace House,"RM280,000",RM269,19,
"BANGSAR BARUBangsar, Kuala Lumpur",Freehold,Terrace House,"RM1,600,000",RM854,19,
"TAMAN BUKIT FLORABatu Pahat, Johor",Freehold,Terrace House,"RM190,000",RM223,19,
"TAMAN DELIMA IIKluang, Johor",Freehold,"Terrace House, Semi D","RM357,000",RM205,19,
"PERUMAHAN SEDC (LOT 144)Kemaman, Terengganu",Leasehold,Terrace House,"RM185,000",RM105,19,
"BANDAR BARU KANGKAR PULAISkudai, Johor",Leasehold,Cluster House,"RM478,000",RM231,19,
"TAMAN SIMPANG BERSATUTaiping, Perak",Freehold,Terrace House,"RM298,800",RM209,19,
"TAMAN MENGKIBOLKluang, Johor",Freehold,Terrace House,"RM280,000",RM196,19,
"TAMAN IMPIAN JAYASenai, Johor",Leasehold,Terrace House,"RM398,000",RM211,19,
"TAMAN CLONLEE IITampin, Negeri Sembilan",Freehold,"Bungalow, Terrace House","RM390,000",RM188,19,
"BANDAR BARU PUTRAIpoh, Perak","Leasehold, Freehold",Terrace House,"RM240,000",RM164,19,
"TAMAN DESA MANJUNG RAYALumut, Perak",Leasehold,"Semi D, Bungalow","RM480,000",RM178,19,
"BANDAR BARU SELAYANGSelayang, Selangor",Leasehold,Terrace House,"RM680,000",RM415,19,
"TAMAN GEMBIRATampoi, Johor",Freehold,Terrace House,"RM400,000",RM247,19,
"TAMAN BANANGBatu Pahat, Johor",Freehold,Terrace House,"RM288,000",RM153,19,
"TAMAN SRI CENDEKIA (TAMAN CONNAUGHT)Cheras, Kuala Lumpur",Leasehold,Terrace House,"RM675,000",RM390,19,
"TAMAN PERDA INDAHTasek Gelugor, Penang",Freehold,Terrace House,"RM80,000",RM73,19,
"TAMAN KEMPAS UTAMASkudai, Johor",Freehold,"Terrace House, Semi D","RM820,000",RM418,19,
"PERUMAHAN KEMPADANG VILLAGEKuantan, Pahang",Leasehold,Terrace House,"RM244,000",RM187,19,
"TAMAN SAUJANA INDAHBukit Katil, Melaka",Freehold,"Terrace House, Semi D","RM300,000",RM168,19,
"SEKSYEN 13 SHAH ALAMShah Alam, Selangor",Leasehold,"Terrace House, Semi D","RM1,125,000",RM434,19,
"TAMU HILL PARKBatang Kali, Selangor",Freehold,Terrace House,"RM380,000",RM227,19,
"P/L 104445 & P/L 104476(LOT 2507)Kuantan, Pahang",Freehold,Terrace House,"RM271,790",RM174,19,
"SEKSYEN 3 BANDAR BARU BANGIBangi, Selangor",Leasehold,"Terrace House, Semi D","RM530,000",RM360,19,
"TAMAN AUSTIN HEIGHTSTebrau, Johor",Freehold,"Cluster House, Semi D","RM1,138,000",RM412,19,
"TAMAN BUKIT KATIL INDAHBukit Katil, Melaka",Freehold,"Terrace House, Semi D","RM280,000",RM182,19,
"TAMAN BUKIT TERATAIAmpang, Selangor",Leasehold,"Town House, Terrace House","RM430,000",RM415,19,
"COUNTRY VILLASBemban, Melaka",Leasehold,Terrace House,"RM530,000",RM344,19,
"I-Park ApartmentSungai Ara, Penang",Freehold,Flat,"RM225,000",RM337,19,
"Tanjong Puteri ApartmentPasir Gudang, Johor",Freehold,Apartment,"RM165,000",RM149,19,
"Kuchai AvenueKuchai Lama, Kuala Lumpur",Freehold,Service Residence,"RM580,000",RM626,19,
"Taman Setia JayaAlor Setar, Kedah",Freehold,Flat,"RM50,000",RM91,19,
"JasaSkudai, Johor",Leasehold,Flat,"RM130,000",RM212,19,
"Taman Tun TejaRawang, Selangor",Leasehold,Flat,"RM220,000",RM273,19,
"Rasah Jaya FlatRasah, Negeri Sembilan",Freehold,Flat,"RM70,000",RM112,19,
"Ixora ApartmentBukit Baru, Melaka",Freehold,Apartment,"RM310,000",RM248,19,
"Villa FloraTaman Tun Dr Ismail, Kuala Lumpur",Freehold,Condominium,"RM900,000",RM574,19,
"Changkat ViewDutamas, Kuala Lumpur",Freehold,Condominium,"RM495,000",RM451,19,
"Twin Galaxy (Dwi Galaksi)Johor Bahru, Johor",Freehold,Service Residence,"RM580,000",RM620,19,
"TAMAN LAGUNAPerling, Johor",Freehold,Terrace House,"RM915,000",RM348,18,
"RESIDENSI VILLA MUTIARASungai Bakap, Penang",Freehold,"Terrace House, Semi D","RM560,000",RM347,18,
"TAMAN SERAI WANGI FASA IIPadang Serai, Kedah",Freehold,"Terrace House, Bungalow","RM292,500",RM179,18,
"NUSARI AMAN 1Bandar Sri Sendayan, Negeri Sembilan",Freehold,Terrace House,"RM393,500",RM214,18,
"TAMAN SEREMBAN 3Rasah, Negeri Sembilan",Freehold,Terrace House,"RM330,000",RM223,18,
"RESORT RESIDENCE 2Bandar Sri Sendayan, Negeri Sembilan",Freehold,Terrace House,"RM768,888",RM467,18,
"TAMAN KINDING AKASIAIpoh, Perak",Leasehold,Terrace House,"RM260,000",RM186,18,
"BAYU SUTERA - PRECINT 1BJimah, Negeri Sembilan",Freehold,Terrace House,"RM568,944",RM407,18,
"PINGGIRAN BAYU (MANTAU)Rasah, Negeri Sembilan",Freehold,Terrace House,"RM470,000",RM336,18,
"TAMAN MANTAU INDAHSeremban 2, Negeri Sembilan","Leasehold, Freehold",Terrace House,"RM255,000",RM191,18,
"TAMAN DESA BUKIT NILAMKapar, Selangor",Freehold,Terrace House,"RM498,000",RM387,18,
"TAMAN DESA BUKIT PERMATAKapar, Selangor",Freehold,Terrace House,"RM406,500",RM233,18,
"PEKAN BARUParit Buntar, Perak","Leasehold, Freehold","Terrace House, Semi D, Bungalow","RM245,000",RM193,18,
"EVERGREEN GARDEN RESIDENCECyberjaya, Selangor",Freehold,"Bungalow, Semi D","RM1,496,000",RM450,18,
"TAMAN SENAWANG PERDANARantau, Negeri Sembilan",Freehold,Bungalow,"RM695,000",RM166,18,
"TAMAN NILAM BAIDURIKulim, Kedah",Freehold,Terrace House,"RM320,000",RM213,18,
"PUNCAK ISKANDARSeri Iskandar, Perak",Leasehold,Terrace House,"RM344,040",RM142,18,
"TAMAN PSJSungai Karang, Pahang",Freehold,Terrace House,"RM272,500",RM200,18,
"TAMAN PUCHONG PRIMAPuchong, Selangor",Freehold,Terrace House,"RM638,000",RM489,18,
"TAMAN KOTA LAKSAMANA SEKSYEN 1Melaka City, Melaka",Leasehold,"Town House, Terrace House","RM345,000",RM238,18,
"TAMAN KAMPAR PUTRAKampar, Perak",Leasehold,Terrace House,"RM215,000",RM154,18,
"TAMAN SERI MANGGA SEKSYEN 1Balai Panjang, Melaka","Leasehold, Freehold",Terrace House,"RM337,200",RM223,18,
"PULAU SERAI / G BINJAI / DARAT PELANDANGDungun, Terengganu",Freehold,"Semi D, Bungalow","RM337,500",RM102,18,
"TROPICANA DANGA COVEMasai, Johor",Freehold,Terrace House,"RM696,500",RM479,18,
"TAMAN NESASkudai, Johor",Leasehold,Terrace House,"RM390,000",RM253,18,
"TAMAN DELIMASungai Petani, Kedah",Freehold,Terrace House,"RM239,000",RM140,18,
"TAMAN NURIDurian Tunggal, Melaka",Freehold,"Cluster House, Semi D","RM649,000",RM221,18,
"TAMAN SUNGAI BESI INDAHSeri Kembangan, Selangor","Freehold, Leasehold","Bungalow, Terrace House, Town House","RM627,500",RM343,18,
"TAMAN INTAN PERDANATelok Kemang, Negeri Sembilan","Freehold, Leasehold",Terrace House,"RM200,000",RM157,18,
"BUKIT BANDARAYABangsar, Kuala Lumpur",Freehold,"Terrace House, Bungalow","RM3,825,000",RM765,18,
"TAMAN SEMENYIH MEWAHSemenyih, Selangor",Freehold,"Terrace House, Semi D","RM576,000",RM352,18,
"TAMAN KASIH PUTERARompin, Negeri Sembilan",Freehold,"Terrace House, Semi D","RM80,000",RM67,18,
"TAMAN KLEBANG JAYAChemor, Perak",Leasehold,Terrace House,"RM192,500",RM151,18,
"BANDAR PUTERI JAYA SEKSYEN 3Sungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM325,000",RM117,18,
"TAMAN KASTURISitiawan, Perak",Freehold,Terrace House,"RM499,300",RM326,18,
"ECO GRANDEURIjok, Selangor",Leasehold,"Terrace House, Semi D","RM785,000",RM438,18,
"KOTA PUTERI BANDAR BARU BATU ARANGBatu Arang, Selangor",Leasehold,Terrace House,"RM407,500",RM278,18,
"TAMAN JUJURSikamat, Negeri Sembilan",Freehold,Cluster House,"RM118,500",RM127,18,
"TAMAN TASIK PRIMAPuchong, Selangor",Leasehold,Terrace House,"RM680,000",RM418,18,
"TAMAN TANJUNG MINYAK JAYATanjong Minyak, Melaka",Freehold,"Terrace House, Semi D","RM253,000",RM212,18,
"BANDAR TASIK IDAMANBatu Gajah, Perak",Leasehold,Terrace House,"RM378,000",RM259,18,
"TAMAN INDAH (SUNGAI UDANG)Masjid Tanah, Melaka",Leasehold,Terrace House,"RM270,000",RM189,18,
"TAMAN MUHIBAHKulai, Johor",Freehold,Terrace House,"RM305,000",RM330,18,
"Koi KinraraPuchong, Selangor",Freehold,Service Residence,"RM480,000",RM405,18,
"Tropicana Bay ResidencesBayan Lepas, Penang",Freehold,Condominium,"RM650,000",RM627,18,
"M Condominium @ LarkinJohor Bahru, Johor",Leasehold,Condominium,"RM465,000",RM425,18,
"Seri JatiSetia Alam, Selangor",Freehold,Apartment,"RM308,000",RM377,18,
"Beverly Hills 2Kota Kinabalu, Sabah",Leasehold,Apartment,"RM285,000",RM344,18,
"Gat Lebuh MacallumGeorgetown, Penang",Leasehold,Flat,"RM172,500",RM330,18,
"Idaman SelasihBayan Lepas, Penang",Freehold,Flat,"RM275,000",RM406,18,
"Mutiara PerdanaBayan Lepas, Penang",Freehold,Apartment,"RM296,500",RM357,18,
"Damai ApartmentShah Alam, Selangor",Leasehold,Apartment,"RM313,000",RM366,18,
"Pelangi Damansara 1Bandar Utama, Selangor",Leasehold,Apartment,"RM385,000",RM419,18,
"D'CassiaSemenyih, Selangor",Freehold,Apartment,"RM291,000",RM338,18,
"PD Marina World ResortPort Dickson, Negeri Sembilan",Freehold,Condominium,"RM81,000",RM109,18,
"Sun Moon CityAyer Itam, Penang",Freehold,Flat,"RM155,000",RM239,18,
"Green AcreBandar Sungai Long, Selangor",Freehold,Condominium,"RM489,500",RM484,18,
"Desa Permai Indah FlatSungai Dua, Penang",Leasehold,Flat,"RM170,000",RM305,18,
"Seremban PutraSikamat, Negeri Sembilan",Freehold,Apartment,"RM180,000",RM220,18,
"Endah RiaSri Petaling, Kuala Lumpur",Leasehold,Condominium,"RM327,500",RM335,18,
"Perdana ExclusiveDamansara Perdana, Selangor",Leasehold,Condominium,"RM357,500",RM371,18,
"Taman Telipok Ria Fasa 1 & Fasa 2Tuaran, Sabah",Leasehold,Apartment,"RM162,500",RM267,18,
"TAMAN PELANGISemenyih, Selangor",Freehold,Terrace House,"RM410,000",RM300,17,
"TAMAN BERKELEYKapar, Selangor",Freehold,Terrace House,"RM480,000",RM300,17,
"SPRINGVILLE @VICTORIA COUNTRYSitiawan, Perak",Freehold,"Semi D, Terrace House","RM546,000",RM213,17,
"TAMAN LANG RESIDENCESIpoh, Perak",Freehold,Terrace House,"RM442,000",RM316,17,
"TAMAN BANDAR SENAWANGSenawang, Negeri Sembilan",Freehold,Terrace House,"RM440,000",RM242,17,
"TAMAN DAIMAN JAYAKota Tinggi, Johor",Freehold,"Terrace House, Cluster House","RM590,000",RM353,17,
"TAMAN CHERAS (YULEK HEIGHTS)Cheras, Kuala Lumpur",Freehold,Terrace House,"RM845,000",RM441,17,
"TAMAN SONG CHOONIpoh, Perak",Leasehold,Terrace House,"RM240,000",RM211,17,
"BANDAR BARU KAMPARKampar, Perak",Leasehold,Terrace House,"RM200,000",RM151,17,
"SP SAUJANASungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM450,000",RM203,17,
"PRIMA BERUNTUNGSerendah, Selangor",Freehold,"Bungalow, Terrace House","RM520,000",RM105,17,
"TAMAN CRESCENTIABatu Kawan, Penang",Leasehold,Terrace House,"RM340,000",RM269,17,
"TAMAN SRI GEDONGSungai Petani, Kedah",Freehold,Terrace House,"RM195,000",RM142,17,
"TAMAN ANJUNG GAPAMBemban, Melaka",Leasehold,Bungalow,"RM640,000",RM133,17,
"TAMAN IPOH TIMURIpoh, Perak","Freehold, Leasehold",Terrace House,"RM310,000",RM207,17,
"TAMAN MANJUNG POINT SEKSYEN 2(PL 12194)Lumut, Perak",Freehold,Terrace House,"RM300,000",RM230,17,
"TAMAN DESA JENJAROMJenjarom, Selangor","Freehold, Leasehold",Terrace House,"RM640,000",RM286,17,
"TAMAN DELIMABanting, Selangor",Freehold,"Terrace House, Bungalow","RM480,000",RM267,17,
"KAMPUNG BARU SERI KEMBANGANSeri Kembangan, Selangor",Leasehold,Bungalow,"RM450,000",RM114,17,
"TAMAN DUSUN SETIASeremban, Negeri Sembilan",Freehold,Terrace House,"RM210,000",RM238,17,
"BUKIT ANGGERIKCheras, Kuala Lumpur",Leasehold,Terrace House,"RM430,000",RM352,17,
"TAMAN SEJAHTERA (SPT)Bukit Mertajam, Penang",Freehold,Terrace House,"RM320,000",RM273,17,
"TAMAN BANDAR BARU LAHATLahat, Perak",Leasehold,Terrace House,"RM255,000",RM235,17,
"ARA DAMANSARAAra Damansara, Selangor",Freehold,Terrace House,"RM1,460,000",RM704,17,
"TAMAN MELAKA BARUBatu Berendam, Melaka",Leasehold,Terrace House,"RM205,000",RM194,17,
"MELIA RESIDENCESGelang Patah, Johor",Freehold,Terrace House,"RM700,000",RM432,17,
"TAMAN NUSA INTANAmpangan, Negeri Sembilan",Freehold,Terrace House,"RM370,000",RM227,17,
"SERENE HEIGHTSSemenyih, Selangor",Freehold,Terrace House,"RM700,000",RM423,17,
"TAMAN BUKIT CHENGCheng, Melaka",Freehold,Terrace House,"RM400,000",RM253,17,
"TAMAN KINTA PERMAIBatu Gajah, Perak",Leasehold,"Bungalow, Terrace House","RM300,000",RM146,17,
"TAMAN ANGGUNRawang, Selangor",Freehold,"Semi D, Terrace House","RM875,000",RM366,17,
"SUNWAY SPK DAMANSARASunway SPK, Kuala Lumpur",Freehold,Terrace House,"RM2,138,000","RM1,032",17,
"TAMAN PERTAMA INDAH ~ JALAN BAKRIBakri, Johor",Freehold,"Terrace House, Semi D","RM808,000",RM326,17,
"SEKSYEN 29 SHAH ALAMShah Alam, Selangor","Leasehold, Freehold","Bungalow, Semi D, Terrace House","RM530,000",RM296,17,
"SRI INDERAPURAKuantan, Pahang",Leasehold,"Semi D, Terrace House","RM175,000",RM137,17,
"TAMAN MAJUBatu Pahat, Johor",Freehold,Terrace House,"RM340,000",RM236,17,
"BANDAR HILLPARKBandar Puncak Alam, Selangor",Leasehold,Terrace House,"RM555,000",RM312,17,
"TAMAN SRI SERDANGSeri Kembangan, Selangor",Leasehold,"Terrace House, Town House","RM388,000",RM286,17,
"TAMAN SAMUDERALumut, Perak",Leasehold,Terrace House,"RM210,000",RM191,17,
"TAMAN MEWAHKamunting, Perak",Leasehold,Terrace House,"RM195,000",RM143,17,
"KAMPUNG BARU MENGLEMBUMenglembu, Perak",Leasehold,Bungalow,"RM180,000",RM46,17,
"TAMAN BUKIT RAWANG JAYARawang, Selangor",Freehold,Terrace House,"RM340,000",RM258,17,
"TAMAN ANGGERIKTampoi, Johor",Freehold,Terrace House,"RM345,000",RM317,17,
"TAMAN LANGAT UTAMA 3Tanjong Duabelas, Selangor",Leasehold,Terrace House,"RM390,000",RM277,17,
"TAMAN KAJANG UTAMAKajang, Selangor",Freehold,"Terrace House, Town House","RM390,000",RM300,17,
"TAMAN DAMAI FASA 1Padang Serai, Kedah",Freehold,Terrace House,"RM300,000",RM214,17,
"PELABUHAN KLANGPort Klang, Selangor",Freehold,Terrace House,"RM450,000",RM204,17,
"Taman Tasek RethinaTasek Gelugor, Penang",Freehold,Flat,"RM55,000",RM102,17,
"D'Rich Executive SuitesIskandar Puteri (Nusajaya), Johor",Freehold,Apartment,"RM440,000",RM418,17,
"Fortune PerdanaKepong, Kuala Lumpur",Leasehold,Service Residence,"RM562,000",RM485,17,
"Putri Ria ApartmentMasai, Johor",Freehold,Apartment,"RM250,000",RM261,17,
"One ImperialSungai Ara, Penang",Freehold,Condominium,"RM560,000",RM464,17,
"Bandar Tasik Selatan (Low Cost)Bandar Tasik Selatan, Kuala Lumpur",Leasehold,Flat,"RM200,000",RM304,17,
"Hillview LoftBatu Pahat, Johor",Freehold,Condominium,"RM342,000",RM303,17,
"Prai InaiPerai, Penang",Freehold,Apartment,"RM273,000",RM302,17,
"Desa Sri PuteriDesa Petaling, Kuala Lumpur",Leasehold,Flat,"RM135,000",RM224,17,
"Pan VistaPermas Jaya, Johor",Freehold,Apartment,"RM330,000",RM316,17,
"Centrio AvenueGelugor, Penang",Freehold,Flat,"RM295,000",RM428,17,
"Sri Palma VillaMantin, Negeri Sembilan",Freehold,"Service Residence, Apartment","RM95,000",RM93,17,
"10 Mont Kiara @ MK10Mont Kiara, Kuala Lumpur",Freehold,Condominium,"RM3,200,000",RM881,17,
"Seri Kasturi ApartmentsSetia Alam, Selangor",Freehold,Apartment,"RM378,000",RM395,17,
"Iconic SkiesSungai Ara, Penang",Freehold,Condominium,"RM788,000",RM616,17,
"Flat PKNS Section 7Shah Alam, Selangor",Leasehold,Flat,"RM217,000",RM300,17,
"Laguna BiruRawang, Selangor",Leasehold,Apartment,"RM220,000",RM259,17,
"Pelangi HeightsKlang, Selangor",Freehold,Apartment,"RM380,000",RM329,17,
